"We arrived at 23,30 hours and they could not recommend a restaurant so we decided to go to Tesco, with very limited choices but when you are hingry you do not careNext day they rang the bell at 8,00 hours to clean the room, not being very nice being waken up so earlyEvery day they gave us a candy bar and two bottlets of water whic is a very nice touch ."							The rooms we had were a good size and clean .	" The room was clean, and looked fine ."	 The bathroom is a good size .	" However, the room   was extremely small ."	" The room itself   was pokey, drab and stuffy ."	 The room was a decent size for a London hotel room .	" Our room was very clean, although a bit small  ."	 The rooms were clean and nicely decorated .	 Room and bathroom was very clean .	 The price we paid for our rooms was reasonable .	 Rooms were well insulated from outside noise .	" It was clean, but the room was rather tired looking and needed to be updated badly ."	"Our first room was adequate, simple and clean ."	 The rooms were nice   clean .	" In, room internet is outrageously expensive at 15 pounds   per day ."		 Our rooms were very small but beautifully decorated .	The rooms were spotlessly clean and serviced each day .							
"   Our room smelled fresh and clean the beds were comfortable,  which is a lot coming from me as I have a spine condition ."							 The rooms are clean and reasonably sized .	" The room was clean, neat and very well kept ."	" Plus, the bathroom is a good size ."	 the room is just the smallest darn thing you'll ever see .	The room was uncomfortably small and very tired .	The hotel is huge and our room was on the large side for London .	 The room was clean and comfortable if a bit on the small side .	 The rooms are very clean and very well appointed .			 The room was quiet apart from the hum of the minibar .		"The room was clean,comfortable and quiet ."	"The rooms were pleasant, clean and did not disappoint ."	" It was 15 pounds a day for in, room wired access or otherwise you had to buy a BT OpenZone card for 6 pounds for 1 ."		 The rooms are small but attractive .	 The rooms were cleaned spic and span every day .							
"   The room is very clean and modern, everyday it was cleaned and fresh towels were given even when we didnt put them on the floor ."							 The rooms were spacious and clean .	" The room was immaculate, and perfect ."		" The room was big enough to hold one large size suitcase, and nothing more ."	 Our room was small and the wooden furniture was badly chipped and marked .		 The room was very clean and tidy although a little small .						" Our room was neat, clean and an adequate size ."	"The rooms were nice, comfortable, and clean ."			 the rooms are small but very nice .								
"  Of course we got a different room  , but why wasn't it cleaned before ?"							 Rooms very spacious and clean .	 The room was inmaculate clean .		 The room was extremely small .	 The rooms are quite small but the problem is they really could use some renovation .		"The room was small, but clean ."							" The rooms were very nice, clean and comfortable ."											
  The room was quite small but it was about the size that I expect from hotels in London and it didn't really bother us .			Our room was neat and clean with no problems at all .				 The rooms were large and clean .	 The rooms are clean and tidy .					 Rooms were a bit small but very clean and nicely maintained .							" The rooms were clean, nicely decorated, and comfortable ."											
" 30 minutes later we were allocated a room,which was very small for three people, we then discoverd that the bed for my grandson had not been made up, nor was there any extra bedding in the room ."							 The rooms were very clean and spacious .	" The rooms were clean and well, cared for ."					 Although the rooms are small it was very clean .							The rooms were very nice and clean .											
" 8am on a sunday morning is a tad early to be ringing the room doorbell, though it is a large hotel and we had forgotten to put the 'do not disturb' sign out ."								 The rooms were celan and well kept .					 rooms somewhat small but clean and comfortable .							" The rooms are comfortable, clean and nicely furnished ."											
" A C either ineffective or not turned on but was just Spring, so room was comfortable cool with window opened for fresh air ."													 The rooms themselves are quite small but clean .																		
" About the hotel, the first room given to us was having stained and patchy carpet and the duvet was also stained ."																															
" About the only negative thing I can say about the room, was that when the sofa chair was pulled out into the single bed for the third adult, there was absolutely only about 4 inches between the end of the bed and the desk in order to pass to go to the bathroom ."																															
 After many phone calls and visits to the front desk regarding not being able to connect with the internet I was finally told it was not working in our room and they knew that it wasn't when we checked in .																															
 After realizing that the room was 'Smoking  we went downstairs to change rooms and they told us the entire hotel was booked .																															
" Also when we booked the hotel we were told we would have a double bed and a single bed but at check in were told we had a fold down bed that when folded down stopped my daughter and myself from using the bathroom, the only way was to climb over the bed ."																															
" Also, one of my colleagues wanted to leave his room key for his wife but the front desk staff wouldn't allow him to do so ."																															
" Although my room was only on the fourth floor, the noise, proofing was quite impressive, and I could barely hear street noise from Cromwell Road ."																															
" Although smokers tend to get relegated to the worst rooms  , i was happy with my 6th floor room ."																															
 Although the dining room was very busy it didnt seem like a cattle market .																															
" Although the room was small, it was comfortable and clean, , especially the pillows and king size bed !"																															
" Although we had email confirmation that the room was prepaid, the check in staff insisted that the “back office” didn’t actually take payment and wanted us to pay again ."																															
 and got the room right away even though the check in time is at 2 p .																															
" Arrived, didn't get the room we paid for or booked ,  apparently they are allowed to do this and its in the small print !"																															
 As a priority club member I expected to have a decent room but this was not the case .																															
" As expected, the room was smaller than the usual American hotel, but clean   quiet with fairly new furnishings ."																															
" As other reviewers have remarked, our room was small, and designed for only the purposes of bathing, watching TV, and sleeping ."																															
" As others have mentioned, the room is small, a bit bigger than a room on a cruise ship, but it’s immaculate, has a small refrigerator, and has a well appointed bathroom with vanity and full tub and shower ."																															
" As the other comments point out, rooms are generally small, but the level of comfort is high as rooms are modern and rooms have been updated recently ."																															
" The rooms are a bit small, but not uncomfortably so ."																															
 Exceptional rooms and service !																															
" Basic necessities like iron, tea kettle, multiple TV channels, safe deposit lockers, newspaper are always available in the room as standard equipment   and there are no surprises ."																															
 Bathroom also was very clean with no smell of chemistry .																															
 Bathroom looked new   was clean .																															
" Bathroom was comparable to an average North American hotel, which means fairly big for Europe ."																															
 Bathroom was nice with good shower .																															
 Bathroom was small but this room was typical size of many London   hotel rooms .																															
 Bathroom was smaller than U .																															
" Bathrooms have tub showe combos, and the computerized climate control is great ."																															
" Be cautious of using the room services like the phone, mini bar and room service as the prices are sky high, but I would definitely stay there again and I would recommend this hotel to anyone !"																															
" Because of the room size, the lack of continental breakfast for those who reserve outside of the Holiday Inn web site, and the distance to many attractions, we WILL NOT STAY in the hotel during our next trip to London ."																															
" Bed was comfortable, but the room was very hot, even with the window open ."																															
 both rooms were kept very clean during our extended visit .																															
" Breakfast in the Forum Room was good, although occasionally supplies   ran out on the buffet ."																															
" Breakfast was included in our room rate ,  and it was a great feast ,  lots of fresh fruit, interesting sausages, Japanese breakfast option ,  and the big dining room had a nice buzzy holiday feel to it ."																															
" Breakfast was included in the room and we utilized it each morning, as the hotel restaurant was adequate ."																															
" Broadbadn access in the rooms is fine, but can slow down at peak times of the evening, the cost is also excessive ."																															
" But I really liked the hotel ,  the rooms were decently sized, there was a nice bank of lifts in the lobby, and again, the staff was friendly, which goes a long way when you've just got off a ten hour flight ."																															
" But I wouldn't splurge on the executive room ,  it isn't worth it !"																															
" But the room was clean, the bathroom was modern with tub and shower and all the hot water we wanted and there was a hairdryer ."																															
" But, the room was bright and airy and a decent size ."																															
" By European standards, our room was large ."																															
" Check in was prompt, and the room clean and tidy, a bit small, but this is central London ."																															
" Check in was very easy, we we happy to learn that our room was ready at 11am and they up graded our room ."																															
" check, in was quick, staff was helpful and rooms were clean  just to be very picky on details, restroom looked like it might have needed some refurbishment sometimes in the near future and also there wasn't actually much spare space in the room, but I assume it wouldn't have been much better in other hotels in London ."																															
" Check, in was simple, and we made our way to the room in an elevator lift that whisked us up to the 20th floor in a matter of seconds ."																															
" Check, in was super, quick, the rooms was spot, on and breakfast was more than elaborate ."																															
" Comfortable room with large bed but limited space as is often the case with London hotels, but I found the location excellent ."																															
" Complaining again to reception got me a double room, which they said at check in was not available ."																															
" Continental breakfast was included in the price of our room package that we purchased through Northwest Airlines, but the breakfast room on the second floor was a bit of a feeding trough ."																															
" Despite its size, and the fact that there are over 20 floors of bedrooms, lift service was never slow, and the breakfast operation   is exceptionally well, managed ."																															
" Early check, in only allowed  smoking  room, but it was entirely acceptable, and only the hallway had faint smke odor ."																															
 Even standard staterooms aboard cruise ships were the same size or larger !																															
" Even though I requested a true king or queen bed, our room was a 2 twin that was hastily assembled into a king which meant that one of us was always falling into the gap between the beds ."																															
" Everything worked well, was in good condition and the room was quiet in spite of the hotel's busy location ."																															
" Executive room was clean and of a reasonable size, however the bathroom was one of the smallest I have ever seen ."																															
" firm, comfortable beds  windows that open  adequate mirrors  clothes drying line across bathtub  sinks and showers drained properly  stopper in sink sealed, which was good because we did our own laundry  night shades overlapped the window and each other enough to keep light out  mini, bar refrigerator ran quietly  free newspapers daily in elevator waiting areas  in, room safe  American sized wash cloths  all lights worked  enough electrical outlets  enough hangers  central air conditioning which worked and ran quietly  adequate elevators  no toilet problems  shower curtains sealed water from leaking onto the floor  anti, slip surface on bathtub shower  exhaust system in bathroom removed condensation from shower  always enough hot water in shower ."																															
" First was about a short que  , then about that he needed to go to the back room to check out if he could give me a double room instead of single and the thirth time that the printer was slow ."																															
 Firstly air conditioning in our room developed a fault during on evening but despite three calls to reception nobody appeared to take any action and the fault was finally cleared the following day .																															
" Front desk efficient, concierge was busy and helpful, room was adequate and very clean ."																															
 Getting to the rooms was slowed by construction crews working on other floors and a horrible elevator which requires your room key to operate .																															
