" 2000 miles were on a trip north on I, 95 the rest of the mileage was in Daytona Beach, FL and surrounding area ."							 The gas mileage is not what its cracked up to be .	 Gas mileage is only about 22 around town .	 truly fantastic gas mileage .	 It gets great gas mileage for a larger car .
 Appears to have good mileage .							 Mileage a little disappointing .	" Gas mileage is disappointing, 21 in town ."	 It gets great gas mileage   .	Nice gas mileage for a family car .
 Being a mother who drives a lot I wanted a safe vehicle with good gas mileage and this car delivered that and more .							" To top things off, the car gets terrible mileage ."	 In town driving the mileage has been 20 .	" Gas mileage is about 20 in the city, certainly not that great ."	
 Below it you can expect to get good mileage only if you do not have too many hills .							 Would like to see better gas mileage too .			
" Can't beat the room, gas mileage and performance for dollar ."							   I am disappointed with the gas mileage .			
" Comfort is great, mileage is good overall, better on the road than expected  , compared to my 1999 Camry ."							 Biggest disapointment is gas mileage .			
 Comfortable and quiet with excellent gas mileage .										
 Doesn't anyone build a quiet car out there for around 30K that used regular gas and gets good gas mileage ?										
" Downshifting on grades is annoying, but overall car is good with decent mileage, and good value for the money ."										
" For a 4 cylinder engine what get, up and go,not to mention the great gas mileage ."										
 Gas mileage at 7500 mi is still around 20 MPG and I'm hoping it will improve as I rack up the mileage .										
" Gas mileage for us will be what it is rated, maybe a little better on highway on the flat open roads of West Texas if you don't put your foot in it all the time ."										
 Gas mileage is 28 mpg on combined and 32 when we were on trip of 100 miles .										
 Gas mileage is great on this model especially the 6 .										
 Gas mileage is lower than my '02 .										
" Gas mileage is poor, 25 mpg ."										
 Gas mileage now is in the high 20s and that should improve with time .										
" Gas mileage on recent long trip was a disappointing 28, 29 mpg ."										
 Gas mileage on the first tank was 30 .										
 Gas mileage stinks too but it may be better if they could figure out the engine problems .										
" Good acceleration for engine size, and good mileage, especially when highway cruising around 70 mph   ."										
" Good gas mileage, comfortable seating, lots of leg room ."										
 Great gas mileage and comfortable on long trips .										
" Great ride, engine, interior, gas mileage ."										
" hesitating then surge between shifts, windshield wipers that move with power that rocks the car to the point that it feels like it will roll over, plastic parts falling off, cruise control is so unreliable I don't use it, bad mileage, and, last but not least, half the windshild blacks out when driving at night through areas without street lights ."										
 Highway mileage already greater than promised .										
" Highway mileage is 29, which I consider poor for a 4, cylinder ."										
 I actually get better highway mileage than sticker show .										
 I am a little disappointed with the mileage but I do have a tendency to drive more aggressive in the model .										
" I believe after it has some miles on it, the mileage will improve ."										
 I decided on the Camry because of the value and gas mileage .										
 I drove the car 600 miles in the last week and gas mileage averaged 26 mpg .										
" I first averaged 23 mpg during the break in period, but ever since then the mileage have increased slowly ."										
 I get better mileage with my BMW 325i .										
 I got 35 highway mileage with ac on and combined 28 29 mile per gallon with ac on .										
" I had my OEM Turanzas wear out at 14K and was lucky to get local Bridgestones to gimme a mileage warranty adjustment, got new tires for $290 ."										
" I have to say the car rode great,comfortable and gas mileage great ."										
" I like how it looked when I got the car, but with high gas prices, I am very disappointed with the gas mileage ."										
 I thought great mileage & I loved the look of the new Camry .										
 I would not have purchased this vehicle if I was aware of the actual poor mileage .										
 If I'm going to get mileage this bad I may as well look good doing it .										
" It floats on the road, handles like it's heavy and substantial, but I get great gas mileage ,  around 30 mpg ."										
" It gets great mileage for a V6, good sound system that comes standard in all Camrys and overall styling looks sporty and aggressive ."										
" It gets great mileage, and runs great ."										
" It had hesitancy during acceleration, bursts of excessive RPMs in cruise control, and only average mileage ."										
" Love the looks, power, roomy interior, good mileage at 32 hwy and 25 city ."										
 Mileage has met the EPA sticker and I just started .										
 Mileage is mediocre at an average of 25 .										
" Mileage out of the showroom was way below advertised  , but seems to have come around over time ."										
" My conclusion after doing a ton of research regarding safety, reliability, comfort and gas mileage :"										
" My mileage averages 25, but it easily gets 30 or over on the highway ."										
" My mileage is 1 2 road and 1 2 city and I am averaging between 26, 28 mpgs ."										
 My old 1989 Camry is still running well giving great mileage 40										
" My overall mileage has been 23, 24 ."										
