 A lot of defects that I still do not understand how my car passed the quality inspection when it was manufactured .				 This car needs quality improvement !	" However, the quality is absolutely terrible for a Toyota ."	 Toyota has this  supposed  impecable quality .	 Toyota did a great job with design but forgot about quality !
" As of today, I am a bit disappointed in the build quality of the car ."				 Disappointed in interior and exterior quality .	 I also am not impressed with the quality .	I had always heard that Toyota had the best quality cars .	" While I applaud the new design  , Toyota seems to be slipping in quality ."
 Depends on gas quality & wind conditions .				This car looks great and the build quality is good .	" However, the quality of this car is not acceptable for Toyota standards ."		
" Examples include fit and finish  had to have the drivers door realigned due to metal, to, metal contact causing terrible rattling  , poor fit of interior parts, which causes a lot of rattling, especially when it's cold out  the auto tranny has a history of serious problems and acts weird, and lastly the paint quality, which chips very easily ."				 High quality inside outside finish	 Toyota's quality is slipping .		
 Excellent interior build quality .					 It's now apparent that Toyota quality took a nose dive .		
 Horrible quality of interior .					 This is not the Toyota quality I was expecting .		
 I am so disappointed in the quality .					" The ride, the fit and the build quality are what I was expecting after owning Toyotas in the past ."		
 I drive   quality cars and I can attest to the fact this car rides as well as some cars costing considerably more .							
" I have rattles on both B pillars and the build quality is rather poor, with unsightly gaps in the passenger side dash where it does not fit together properly ."							
" I love the car's visual and aesthetic design, but quality is just as important and for that reason, I would NOT recommend the new Camry to anyone !"							
 I paid for quality & all I've gotten thus far is NOT quality  .							
 I previously owned a Toyota 4Runner which had incredible build quality and reliability .							
 I was driving 91 Camry for long time and it's quality deeply impressed me .							
" I will keep this car, but I hope Toyota improves their quality to their older standards of the mid 90s ."							
 Initial quality was lacking and it's only getting worse .							
 Interior exterior quality is very good .							
 Interior quality is very poor .							
 It has high quality amazing ride and the fit and finish is great .							
 It is a pleasure to drive and it has Toyota quality written all over it .							
" It's not a terrible car by any means, but the quality since they starting building them in America has really slipped ."							
" JBL radio is low quality cd, fm, and mp3 all sound the same ."							
" Mine suffers from the tranny slip   on the 3, 4 upshift when cold, build quality is good but nothing like the Toyota, hype I was expecting, as it has its share of squeaks and rattles just like a 10 year old Chevy ."							
 My transmission works seamlessly and there are no quality issues whatsoever .							
" Overall a good car, no build quality issues yet ."							
 Overall build quality very good .							
 Quality of assembly is outstanding .							
" Replaced speakers with Sony speakers, sound quality improved ."							
 Seems the company's quest to be #1 has caused quality issues .							
" So far the quality appears to be strong, as expected ."							
" Solid, high quality, comfortable and quiet ."							
 Some have mentioned disappointing build quality .							
 Some quality issues with fit and finish .							
 The 07 Camry is a high quality car at a very affordable price .							
 The fit and finish in the cabin is not the level of quality I expected .							
 The fit and finish quality is poor .							
" The new 2007 Camry should have the higher quality than 1997 Carmry, but not in my case ."							
" The quality of construction, ride, quietness, and legroom are excellent ."							
 The quality of the leather seats appears to be very good .							
" The ride, comfort, and drive is as expected, however, the quality and reputation of yore are completely gone for the flagship Camry ."							
 The sound quality is excellent and answering or dialing a call couldn't be easier .							
 This 2007 is the epitome of the Toyota's quality .							
 This is our 6th Toyota and we continue to receive the quality we expect .							
" This was the 7th Camry and the last, I feel Toyota quality is slipping big time ."							
" transmission hunts for gears, ride quality much worse than even a mediocre car, Auto sound level doesn't work, accessory outlets do not work unless car is running or acc is on  , radio shuts off when engine is shut off ."							
" Vehicle ride is extremely smooth, compliant and quiet ,  very close to Lexus quality   for thousands of dollars less ."							
" Was sold by the reputation for quality, reliability, and the 2007 redesign ."							
" While I love the design, the poor components, sub, par fit, and, finish, poor quality control, and unreliable work on the part of dealership techs will make me question the quality of any future Toyota vehicle ."							
"After owning a 95 Camry, I expected the same quality ."							
"As compared to my wife's 2004 Highlander, my new Camry does not exhibit the same build quality ."							
"Great performance, great gas mileage  , superior quality ,  I always thought of a Camry as just a practical family sedan ."							
I bought the Camry because of Toyota reliability and quality .							
I just feel the car is quality throughout .							
I purchased a 2007 Camry because of the looks of the redesigned model and because of the  legendary  Toyota quality and reliability .							
"I've had 2 Camry's before the one, and bought it thinking that the quality standards known to a Toyota would still remain excellent ."							
"My third Camry and by far the worst, the paint is of poor quality ."							
s not worth buying given the quality issues .							
"This car offers poor driver's seat comfort, poor vision  , only average ride quality, gas mileage "							
