uncorrupt_phrase_line_num,corrupt_phrase_line_num
218,223
396,402
465,472
778,783
784,789
948,958
1091,1101
1129,1137
1221,1229
1230,1236
1330,1339
1340,1349
1500,1509
1674,1684
1686,1697
1700,1706
1723,1728
1731,1735
1781,1790
1791,1802
1850,1857
1950,1956
1957,1964
2051,2058
2110,2115
2116,2122
2633,2638
2665,2675
2677,2686
2739,2743
2774,2784
2785,2794
2837,2842
3094,3100
3139,3143
3174,3182
3210,3217
3418,3426
3473,3478
3479,3483
3660,3668
3779,3787
3817,3824
3825,3833
4055,4065
4067,4077
4212,4217
4263,4268
4306,4313
4314,4322
4500,4505
4847,4856
5096,5104
5144,5152
5153,5160
5298,5308
5578,5586
5587,5595
5681,5688
5690,5697
5779,5786
5923,5929
5930,5935
5985,5996
5997,6004
6133,6141
6230,6240
6307,6315
6316,6326
6467,6474
6552,6556
6597,6603
6604,6612
6706,6710
6826,6833
7032,7038
7723,7730
7827,7834
7835,7842
7843,7851
7853,7860
8041,8048
8155,8165
8436,8440
8441,8445
8476,8482
8483,8488
8726,8733
8854,8859
8953,8960
8995,9001
9092,9096
9437,9444
9445,9453
9834,9838
9859,9866
9998,10007
10008,10017
10050,10057
10179,10188
10416,10424
10537,10546
10560,10567
10569,10576
10584,10591
10746,10752
10872,10879
10880,10887
10888,10899
10901,10913
10915,10921
10969,10975
11088,11099
11179,11185
11295,11304
11360,11366
11403,11412
11413,11422
11474,11482
11535,11546
11572,11584
11942,11946
12078,12085
12240,12246
12315,12322
12664,12670
12672,12677
12710,12713
12715,12718
12760,12766
12792,12798
12959,12965
12990,12997
13091,13100
13101,13110
13111,13120
13382,13389
13467,13474
13561,13568
13569,13576
13636,13640
13675,13684
13686,13696
13809,13817
13819,13826
14036,14042
14043,14049
14063,14072
14079,14085
14086,14092
14193,14201
14440,14450
14527,14535
14536,14545
14587,14592
14595,14600
14651,14660
14678,14682
14683,14687
14950,14956
14957,14963
15012,15018
15019,15028
15029,15036
15065,15071
15348,15353
15354,15358
15367,15374
15376,15382
15565,15569
15570,15574
15888,15897
16156,16164
16166,16174
16215,16223
16225,16233
16254,16267
16454,16459
16460,16465
16637,16644
16662,16669
16712,16724
17048,17057
17350,17357
17416,17425
17570,17579
18032,18038
18098,18101
18126,18133
18134,18141
18165,18174
18175,18182
18273,18280
18295,18300
18301,18307
18553,18559
18817,18826
18847,18853
18867,18877
18878,18886
18959,18967
19008,19015
19044,19049
19231,19237
19239,19247
19353,19359
19360,19363
19364,19367
19613,19619
19678,19685
19824,19831
20578,20583
20711,20718
20719,20726
20749,20757
20797,20804
20805,20812
20896,20902
20903,20909
20954,20960
20961,20968
21058,21065
21405,21411
21412,21418
21535,21543
21545,21555
21612,21620
21816,21825
21953,21959
21960,21968
22195,22202
22203,22210
22315,22325
22326,22337
22446,22449
22949,22958
23084,23091
23255,23264
23282,23289
23291,23298
23729,23734
23847,23852
23855,23860
24195,24202
24402,24410
24584,24591
24593,24600
24608,24613
24624,24629
24631,24638
24874,24880
24881,24889
25361,25367
25433,25439
25491,25501
25502,25512
25779,25784
25864,25874
25891,25900
25917,25924
25956,25965
25966,25974
26135,26144
26147,26156
26242,26253
26255,26267
26332,26338
26362,26367
26512,26516
26517,26521
26579,26586
26588,26595
26792,26798
26832,26838
27031,27036
27057,27060
27086,27095
27098,27106
27533,27541
27558,27566
27567,27575
27576,27583
27736,27741
27742,27750
27751,27760
27814,27821
27822,27828
27900,27903
27967,27978
28005,28008
28020,28030
28056,28061
28175,28184
28330,28334
28336,28340
28349,28355
28356,28362
28841,28848
28948,28956
29052,29059
29060,29068
29102,29111
29148,29151
29169,29180
29357,29363
29437,29444
29596,29601
29724,29736
29833,29842
29906,29913
30374,30380
30382,30387
30565,30574
30575,30583
31226,31231
31232,31237
31238,31243
31244,31248
31284,31291
31306,31314
31315,31322
31546,31554
31590,31599
31600,31608
31651,31660
31696,31703
31760,31766
32177,32185
32186,32194
32359,32368
32369,32377
32821,32832
32842,32847
32945,32953
33189,33195
33252,33259
33260,33267
33295,33306
33329,33335
33718,33729
33913,33920
33921,33929
33953,33961
34330,34335
34336,34343
34375,34381
34383,34390
34685,34693
34695,34701
34770,34776
34982,34988
35075,35084
35085,35094
35179,35187
35323,35329
35465,35471
35637,35645
35806,35813
36049,36056
36184,36189
36373,36378
36379,36384
36416,36420
36444,36451
36513,36518
36630,36639
36640,36650
36755,36763
36833,36840
36841,36848
36912,36918
36943,36952
36999,37008
37092,37099
37125,37130
37207,37216
37352,37361
37497,37505
37697,37705
37755,37764
37896,37903
37955,37963
38123,38130
38131,38139
38321,38324
38325,38328
38449,38455
38456,38464
38543,38549
38567,38571
38745,38753
38761,38766
38767,38772
38813,38822
39035,39041
39161,39170
39171,39180
39190,39196
39221,39228
39229,39236
39283,39289
39293,39299
39437,39446
39447,39455
39538,39543
39544,39549
39748,39754
39788,39792
39793,39798
39811,39820
39821,39829
40203,40209
40372,40382
40405,40413
40861,40865
40894,40902
40923,40929
40931,40938
40951,40954
40955,40958
40972,40977
41024,41031
41068,41079
41087,41094
41514,41527
41953,41961
42062,42075
42082,42092
42368,42374
42376,42383
42384,42391
42519,42527
42528,42535
42536,42541
42544,42548
42682,42689
42762,42768
43546,43552
43645,43655
43656,43666
43764,43771
43977,43983
43984,43991
44044,44054
44153,44165
44166,44178
44413,44423
44591,44604
44747,44755
44756,44766
44800,44804
44805,44810
