uncorrupt_phrase_line_num,corrupt_phrase_line_num
784,790
1091,1102
1674,1685
1700,1707
1723,1729
1731,1736
2665,2676
2677,2687
4055,4066
4067,4078
4314,4323
5587,5596
5681,5689
5690,5698
6552,6557
7843,7852
8441,8446
9445,9454
10416,10425
10560,10568
10569,10577
10584,10592
10888,10900
10901,10914
12240,12247
12664,12671
12672,12678
12710,12714
13675,13685
13686,13697
13809,13818
14587,14593
14595,14601
15367,15375
16156,16165
16166,16175
16215,16224
16460,16466
18134,18142
18273,18281
19231,19238
19239,19248
20578,20584
20805,20813
21535,21544
21545,21556
23282,23290
23847,23853
23855,23861
24584,24592
24593,24601
24624,24630
24631,24639
24881,24890
25891,25901
26135,26145
26147,26157
26242,26254
26579,26587
26588,26596
27086,27096
27098,27107
28330,28335
28336,28341
29906,29914
30374,30381
30382,30388
31315,31323
33921,33930
34375,34382
34685,34694
34695,34702
34982,34989
36379,36385
36640,36651
37697,37706
39283,39290
39293,39300
40923,40930
40931,40939
42368,42375
42536,42542
42544,42549
